N,time
100,8
50100,837
100100,2180
150100,3951
200100,4406
250100,4927
300100,6464
350100,8713
400100,9080
450100,10216
500100,10783
550100,12842
600100,13670
650100,15562
700100,16189
750100,17414
800100,16919
850100,20098
900100,19671
950100,20387
