time,position,velocity,energy
28.2,-0.978912,0.316485,0.529216
28.4,-0.896037,0.505937,0.529428
28.6,-0.776929,0.675026,0.529639
28.8,-0.626385,0.816911,0.529851
29,-0.450475,0.92585,0.530063
29.2,-0.256296,0.997428,0.530275
29.4,-0.0516842,1.02874,0.530487
29.6,0.155097,1.0185,0.5307
29.8,0.355695,0.967111,0.530912
30,0.542004,0.87663,0.531124
30.2,0.70649,0.750697,0.531337
30.4,0.842499,0.594385,0.531549
30.6,0.944526,0.413997,0.531762
30.8,1.00844,0.216812,0.531975
31,1.03163,0.0107888,0.532187
31.2,1.01315,-0.195753,0.5324
31.4,0.953741,-0.394469,0.532613
31.6,0.855772,-0.577327,0.532826
31.8,0.723191,-0.736935,0.533039
32,0.56134,-0.866835,0.533253
32.2,0.376747,-0.961766,0.533466
32.4,0.176858,-1.01788,0.533679
32.6,-0.0302548,-1.03289,0.533893
32.8,-0.236229,-1.00619,0.534106
33,-0.432741,-0.938816,0.53432
33.2,-0.611849,-0.833491,0.534534
33.4,-0.766311,-0.694452,0.534747
33.6,-0.889875,-0.5273,0.534961
33.8,-0.977537,-0.33878,0.535175
34,-1.02574,-0.136496,0.535389
34.2,-1.03253,0.071382,0.535604
34.4,-0.9976,0.27646,0.535818
34.6,-0.922356,0.470451,0.536032
34.8,-0.809819,0.645513,0.536247
35,-0.66452,0.794566,0.536461
35.2,-0.492316,0.911579,0.536676
35.4,-0.300154,0.991811,0.53689
35.6,-0.095789,1.03201,0.537105
35.8,0.112528,1.03052,0.53732
36,0.316382,0.987407,0.537535
36.2,0.507536,0.904382,0.53775
36.4,0.678261,0.784788,0.537965
36.6,0.821654,0.63344,0.53818
36.8,0.931908,0.45644,0.538395
37,1.00456,0.26093,0.538611
37.2,1.03665,0.0547993,0.538826
37.4,1.02688,-0.153627,0.539042
37.6,0.975617,-0.355931,0.539257
37.8,0.884918,-0.543935,0.539473
38,0.758433,-0.71004,0.539689
38.2,0.601256,-0.847526,0.539905
38.4,0.419726,-0.950827,0.540121
38.6,0.221166,-1.01576,0.540337
38.8,0.0135914,-1.03967,0.540553
39,-0.194615,-1.0216,0.540769
39.2,-0.395042,-0.962243,0.540985
39.4,-0.57959,-0.86399,0.541202
39.6,-0.740796,-0.730792,0.541418
39.8,-0.872139,-0.568017,0.541635
40,-0.9683,-0.382229,0.541852
40.2,-1.02538,-0.180924,0.542068
40.4,-1.04106,0.02777,0.542285
40.6,-1.01468,0.235426,0.542502
40.8,-0.947303,0.433654,0.542719
41,-0.841626,0.614441,0.542936
41.2,-0.701905,0.770478,0.543153
41.4,-0.533772,0.895449,0.543371
41.6,-0.344006,0.984294,0.543588
41.8,-0.140267,1.03341,0.543805
42,0.06922,1.0408,0.544023
42.2,0.275995,1.00614,0.54424
42.4,0.471702,0.930813,0.544458
42.6,0.64843,0.817857,0.544676
42.8,0.799033,0.671814,0.544894
43,0.917415,0.498571,0.545112
43.2,0.998781,0.305116,0.54533
43.4,1.03983,0.0992578,0.545548
43.6,1.03888,-0.110693,0.545766
43.8,0.995967,-0.316256,0.545984
44,0.912797,-0.509124,0.546203
44.2,0.792716,-0.681501,0.546421
44.4,0.640561,-0.826414,0.54664
44.6,0.462467,-0.937998,0.546859
44.8,0.265618,-1.01173,0.547077
45,0.0579596,-1.04462,0.547296
45.2,-0.152124,-1.03532,0.547515
45.4,-0.356145,-0.984189,0.547734
45.6,-0.54586,-0.893276,0.547953
45.8,-0.713598,-0.766239,0.548172
46,-0.852574,-0.608194,0.548392
46.2,-0.957162,-0.425516,0.548611
46.4,-1.02312,-0.225573,0.54883
46.6,-1.04777,-0.0164372,0.54905
46.8,-1.03011,0.193446,0.54927
47,-0.970814,0.395598,0.549489
47.2,-0.872278,0.581849,0.549709
47.4,-0.738463,0.744668,0.549929
47.6,-0.57476,0.877467,0.550149
47.8,-0.387771,0.97487,0.550369
48,-0.185042,1.03293,0.550589
48.2,0.0252443,1.04928,0.550809
48.4,0.234595,1.02324,0.55103
48.6,0.434551,0.955858,0.55125
48.8,0.617032,0.849831,0.551471
49,0.774657,0.709428,0.551691
49.2,0.90105,0.540308,0.551912
49.4,0.991091,0.349292,0.552133
49.6,1.04113,0.144088,0.552353
49.8,1.04912,-0.0670193,0.552574
50,1.01474,-0.275503,0.552795
50.2,0.93934,-0.47294,0.553017
50.4,0.825966,-0.65135,0.553238
50.6,0.679176,-0.803516,0.553459
50.8,0.50489,-0.923281,0.55368
51,0.310136,-1.00579,0.553902
51.2,0.102774,-1.0477,0.554123
51.4,-0.108822,-1.04731,0.554345
51.6,-0.316107,-1.00459,0.554567
51.8,-0.510703,-0.921281,0.554789
52,-0.684746,-0.800715,0.555011
52.2,-0.831194,-0.647752,0.555233
52.4,-0.94412,-0.468558,0.555455
52.6,-1.01895,-0.270363,0.555677
52.8,-1.05264,-0.0611656,0.555899
53,-1.04382,0.150586,0.556122
53.2,-0.992829,0.356339,0.556344
53.4,-0.901705,0.547778,0.556567
53.6,-0.774115,0.717164,0.556789
53.8,-0.6152,0.857644,0.557012
54,-0.431367,0.963531,0.557235
54.2,-0.230034,1.03053,0.557458
54.4,-0.0193266,1.05593,0.557681
54.6,0.192246,1.03868,0.557904
54.8,0.396136,0.979454,0.558127
55,0.584104,0.880637,0.55835
55.2,0.74855,0.746204,0.558573
55.4,0.882819,0.58157,0.558797
55.6,0.981477,0.393374,0.55902
55.8,1.04052,0.189212,0.559244
56,1.05755,-0.0226771,0.559468
56.2,1.03187,-0.233734,0.559691
56.4,0.964483,-0.435433,0.559915
56.6,0.858107,-0.619621,0.560139
56.8,0.717021,-0.77885,0.560363
57,0.54691,-0.906677,0.560587
57.2,0.354637,-0.997926,0.560812
57.4,0.147959,-1.04889,0.561036
57.6,-0.0647795,-1.05751,0.56126
57.8,-0.274986,-1.0234,0.561485
58,-0.474166,-0.947937,0.56171
58.2,-0.654271,-0.834145,0.561934
58.4,-0.808014,-0.686608,0.562159
58.6,-0.929176,-0.511273,0.562384
58.8,-1.01285,-0.315213,0.562609
59,-1.05563,-0.106339,0.562834
59.2,-1.05579,0.106914,0.563059
59.4,-1.01329,0.315933,0.563284
59.6,-0.929837,0.512272,0.563509
59.8,-0.808785,0.687994,0.563735
60,-0.655011,0.835991,0.56396
60.2,-0.474712,0.950274,0.564186
60.4,-0.275163,1.02621,0.564412
60.6,-0.0644178,1.06072,0.564637
60.8,0.149014,1.05239,0.564863
61,0.356512,1.00154,0.565089
61.2,0.549689,0.910205,0.565315
61.4,0.720736,0.782063,0.565541
61.6,0.862734,0.622274,0.565768
61.8,0.969934,0.437282,0.565994
62,1.03799,0.234549,0.56622
62.2,1.06414,0.0222601,0.566447
62.4,1.04731,-0.191014,0.566673
62.6,0.988162,-0.396655,0.5669
62.8,0.889068,-0.586355,0.567127
63,0.754016,-0.752441,0.567354
63.2,0.588447,-0.888196,0.567581
63.4,0.399039,-0.988121,0.567808
63.6,0.193434,-1.04817,0.568035
63.8,-0.020068,-1.06589,0.568262
64,-0.232845,-1.04056,0.568489
64.2,-0.436299,-0.973178,0.568717
64.4,-0.622209,-0.866455,0.568944
64.6,-0.783056,-0.724684,0.569172
64.8,-0.912332,-0.553579,0.569399
65,-1.0048,-0.360041,0.569627
65.2,-1.05671,-0.15188,0.569855
65.4,-1.06595,0.0625,0.570083
65.6,-1.03214,0.274441,0.570311
65.8,-0.956605,0.475379,0.570539
66,-0.842397,0.657193,0.570767
66.2,-0.69411,0.812528,0.570996
66.4,-0.517723,0.9351,0.571224
66.6,-0.320348,1.01994,0.571453
66.8,-0.109953,1.06361,0.571681
67,0.104969,1.06433,0.57191
67.2,0.315736,1.02205,0.572139
67.4,0.513831,0.938463,0.572367
67.6,0.691247,0.816927,0.572596
67.8,0.840808,0.662339,0.572825
68,0.956459,0.480931,0.573055
68.2,1.03352,0.28002,0.573284
68.4,1.06885,0.0677167,0.573513
68.6,1.06102,-0.147408,0.573742
68.8,1.01031,-0.356663,0.573972
69,0.918776,-0.551592,0.574202
69.2,0.790082,-0.724316,0.574431
69.4,0.629417,-0.867846,0.574661
69.6,0.443259,-0.976372,0.574891
