N,insert_time_A,find_time_A,remove_time_A,insert_time_B,find_time_B,remove_time_B
1000,168,136,5,18,5,15
2000,656,549,12,40,13,34
3000,1440,1230,17,59,19,89
4000,2574,2299,22,79,26,69
5000,4081,3622,28,111,39,119
6000,6003,5118,34,134,44,158
7000,7828,6709,41,160,52,162
8000,10429,9132,52,253,71,321
9000,14906,12120,51,269,69,196
